movie_id###title###budget###homepage###overview###popularity###release_date###revenue###runtime###movie_status###tagline###vote_average###vote_count;;;;;;;
24###Kill Bill: Vol. 1###30000000###http://www.miramax.com/movie/kill-bill-volume-1/###An assassin is shot at the altar by her ruthless employer, Bill and other members of their assassination circle – but 'The Bride' lives to plot her vengeance. Setting out for some payback, she makes a death list and hunts down those who wronged her, saving Bill for last.###79.754966###2003-10-10###180949000###111###Released###Go for the kill.###7.7###4949;;;;;;;
25###Jarhead###72000000######Jarhead is a film about a US Marine Anthony Swofford’s experience in the Gulf War. After putting up with an arduous boot camp, Swafford and his unit are sent to the Persian Gulf where they are earger to fight but are forced to stay back from the action. Meanwhile Swofford gets news of his girlfriend is cheating on him. Desperately he wants to kill someone and finally put his training to use.###32.227223###2005-11-04###96889998###125###Released###Welcome to the suck.###6.6###765;;;;;;;
28###Apocalypse Now###31500000###http://www.apocalypsenow.com###At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, does not exist, nor will it ever exist. His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.###49.973462###1979-08-15###89460381###153###Released###This is the end...###8.0###2055;;;;;;;
33###Unforgiven###14000000######William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.###37.380435###1992-08-07###159157447###131###Released###Some legends will never be forgotten. Some wrongs can never be forgiven.###7.7###1113;;;;;;;
35###The Simpsons Movie###75000000###http://www.simpsonsmovie.com/###After Homer accidentally pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.###46.875375###2007-07-25###527068851###87###Released###See our family. And feel better about yours.###6.9###2264;;;;;;;
38###Eternal Sunshine of the Spotless Mind###20000000###http://www.eternalsunshine.com###Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.###56.481487###2004-03-19###72258126###108###Released###You can erase someone from your mind. Getting them out of your heart is another story.###7.9###3652;;;;;;;
55###Amores perros###2000000######Three different people in Mexico City are catapulted into dramatic and unforeseen circumstances in the wake of a terrible car crash: a young punk stumbles into the sinister underground world of dog fighting; an injured supermodel's designer pooch disappears into the apartment's floorboards; and an ex-radical turned hit man rescues a gunshot Rotweiler.###23.281616###2000-06-16###20908467###154###Released###Love. Betrayal. Death.###7.6###521;;;;;;;
58###Pirates of the Caribbean: Dead Man's Chest###200000000###http://disney.go.com/disneypictures/pirates/###Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.###145.847379###2006-06-20###1065659812###151###Released###Jack is back!###7.0###5246;;;;;;;
59###A History of Violence###32000000######An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.###34.628738###2005-09-23###60740827###96###Released###Tom Stall had the perfect life... until he became a hero.###6.9###832;;;;;;;
62###2001: A Space Odyssey###10500000######Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.###86.201184###1968-04-10###68700000###149###Released###An epic drama of adventure and exploration###7.9###2998;;;;;;;
65###8 Mile###41000000###http://movies.uip.de/8mile/###The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy B-Rabbit Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.###32.798571###2002-11-08###215000000###110###Released###Every moment is another chance.###6.8###1626;;;;;;;
66###Absolute Power###50000000######A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.###13.576765###1997-02-14###50068310###121###Released###Corrupts Absolutely.###6.4###223;;;;;;;
68###Brazil###15000000######Low-level bureaucrat Sam Lowry escapes the monotony of his day-to-day life through a recurring daydream of himself as a virtuous hero saving a beautiful damsel. Investigating a case that led to the wrongful arrest and eventual death of an innocent man instead of wanted terrorist Harry Tuttle, he meets the woman from his daydream, and in trying to help her gets caught in a web of mistaken identities, mindless bureaucracy and lies.###41.089863###1985-02-20###0###132###Released###It's only a state of mind.###7.5###861;;;;;;;
69###Walk the Line###28000000######A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.###35.580032###2005-09-13###186438883###136###Released###Love is a burning thing.###7.3###718;;;;;;;
70###Million Dollar Baby###30000000###http://www.milliondollarbaby-derfilm.de/###Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.###70.456012###2004-12-15###216763646###132###Released###Beyond his silence, there is a past. Beyond her dreams, there is a feeling. Beyond hope, there is a memory. Beyond their journey, there is a love.###7.7###2439;;;;;;;
71###Billy Elliot###5000000######Set against the background of the 1984 Miner's Strike, Billy Elliot is an 11 year old boy who stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes!###20.428237###2000-05-18###110000000###110###Released###Inside every one of us is a special talent waiting to come out. The trick is finding it.###7.4###750;;;;;;;
73###American History X###20000000###http://www.historyx.com/###Derek Vineyard is paroled after serving 3 years in prison for killing two thugs who tried to break into/steal his truck. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.###73.567232###1998-10-30###23875127###119###Released###Some Legacies Must End.###8.2###3016;;;;;;;
74###War of the Worlds###132000000######Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop of his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.###48.572726###2005-06-28###591739379###116###Released###They're already here.###6.2###2322;;;;;;;
75###Mars Attacks!###70000000###http://marsattacks.warnerbros.com/###'We come in peace' is not what those green men from Mars mean when they invade our planet, armed with irresistible weapons and a cruel sense of humor.  This star studded cast must play victim to the alien’s fun and games in this comedy homage to science fiction films of the '50s and '60s.###44.090535###1996-12-12###101371017###106###Released###Nice planet. We'll take it!###6.1###1509;;;;;;;
76###Before Sunrise###2500000######A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.###23.672571###1995-01-27###5535405###105###Released###Can the greatest romance of your life last only one night?###7.7###959;;;;;;;
77###Memento###9000000###http://www.otnemem.com/###Suffering short-term memory loss after a head injury, Leonard Shelby embarks on a grim quest to find the lowlife who murdered his wife in this gritty, complex thriller that packs more knots than a hangman's noose. To carry out his plan, Shelby snaps Polaroids of people and places, jotting down contextual notes on the backs of photos to aid in his search and jog his memory. He even tattoos his own body in a desperate bid to remember.###60.715151###2000-10-11###39723096###113###Released###Some memories are best forgotten.###8.1###4028;;;;;;;
78###Blade Runner###28000000###http://www.warnerbros.com/blade-runner###In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.###94.056131###1982-06-25###33139618###117###Released###Man has made his match... now it's his problem.###7.9###3509;;;;;;;
79###英雄###31000000######One man defeated three assassins who sought to murder the most powerful warlord in pre-unified China.###23.607392###2002-12-19###177394432###99###Released###One man's strength will unite an empire.###7.2###635;;;;;;;
80###Before Sunset###2700000###http://www.warnerbros.com/?site=beforesunset#/page=movies&pid=f-57b53b9e/BEFORE_SUNSET&asset=059437/Before_Sunset_-_Trailer_1A&type=video/###Nine years ago two strangers met by chance and spent a night in Vienna that ended before sunrise. They are about to meet for the first time since. Now they have one afternoon to find out if they belong together.###14.799323###2004-02-10###15992615###80###Released###What if you had a second chance with the one that got away?###7.6###718;;;;;;;
83###Open Water###130000######Two divers are left out at sea without a boat. There’s nothing but water for miles, unless they look at what’s underneath them...###15.611857###2004-08-06###54667954###79###Released###Scream all you want.###5.4###315;;;;;;;
85###Raiders of the Lost Ark###18000000###http://www.indianajones.com###When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.###68.159596###1981-06-12###389925971###115###Released###Indiana Jones - the new hero from the creators of JAWS and STAR WARS.###7.7###3854;;;;;;;
87###Indiana Jones and the Temple of Doom###28000000###http://www.indianajones.com###After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.###66.976776###1984-05-23###333000000###118###Released###If adventure has a name... it must be Indiana Jones.###7.1###2781;;;;;;;
89###Indiana Jones and the Last Crusade###48000000###http://www.indianajones.com/crusade###When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.###80.972475###1989-05-24###474171806###127###Released###The man with the hat is back. And this time, he's bringing his Dad.###7.6###3152;;;;;;;
90###Beverly Hills Cop###15000000######Tough-talking Detroit cop Axel Foley heads to the rarified world of Beverly Hills in his beat-up Chevy Nova to investigate a friend's murder. But soon, he realizes he's stumbled onto something much more complicated. Bungling rookie detective Billy Rosewood joins the fish-out-of-water Axel and shows him the West Los Angeles ropes.###29.843818###1984-11-29###316360478###105###Released###The Heat Is On!###6.8###961;;;;;;;
95###Armageddon###140000000######When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.###58.485967###1998-07-01###553799566###151###Released###The Earth's Darkest Day Will Be Man's Finest Hour###6.4###2482;;;;;;;
96###Beverly Hills Cop II###20000000######Detroit cop, Axel Foley heads for the land of sunshine and palm trees to find out who shot police Captain Andrew Bogomil. Thanks to a couple of old friends, Axel's investigation uncovers a series of robberies masterminded by a heartless weapons kingpin – and the chase is on.###25.28436###1987-05-18###299965036###100###Released######6.1###613;;;;;;;
98###Gladiator###103000000######In the year 180, the death of emperor Marcus Aurelius throws the Roman Empire into chaos. Maximus is one of the Roman army's most capable and trusted generals and a key advisor to the emperor. As Marcus' devious son Commodus ascends to the throne, Maximus is set to be executed. He escapes, but is captured by slave traders. Renamed Spaniard and forced to become a gladiator, Maximus must battle to the death with other men for the amusement of paying audiences. His battle skills serve him well, and he becomes one of the most famous and admired men to fight in the Colosseum. Determined to avenge himself against the man who took away his freedom and laid waste to his family, Maximus believes that he can use his fame and skill in the ring to avenge the loss of his family and former glory. As the gladiator begins to challenge his rule, Commodus decides to put his own fighting mettle to the test by squaring off with Maximus in a battle to the death.###95.301296###2000-05-01###457640427###155###Released###A Hero Will Rise.###7.9###5439;;;;;;;
100###Lock, Stock and Two Smoking Barrels###1350000###http://www.universalstudiosentertainment.com/lock-stock-and-two-smoking-barrels/###A card sharp and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.###16.032594###1998-03-05###3897569###105###Released###A Disgrace to Criminals Everywhere.###7.5###1648;;;;;;;
103###Taxi Driver###1300000######A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.###58.845025###1976-02-07###28262574###114###Released###On every street in every city, there's a nobody who dreams of being a somebody.###8.0###2535;;;;;;;
104###Lola rennt###1530000######Lola receives a phone call from her boyfriend Manni. He lost 100,000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise, he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.###27.36562###1998-08-20###7267585###81###Released###Every second of every day you're faced with a decision that can change your life.###7.2###664;;;;;;;
105###Back to the Future###19000000###http://www.backtothefuture.com/movies/backtothefuture1###Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.###76.603233###1985-07-03###381109762###116###Released###He's the only kid ever to get into trouble before he was born.###8.0###6079;;;;;;;
106###Predator###18000000######Dutch and his group of commandos are hired by the CIA to rescue downed airmen from guerillas in a Central American jungle. The mission goes well but as they return they find that something is hunting them. Nearly invisible, it blends in with the forest, taking trophies from the bodies of its victims as it goes along. Occasionally seeing through its eyes, the audience sees it is an intelligent alien hunter, hunting them for sport, killing them off one at a time.###50.009408###1987-06-11###98235548###107###Released###If it bleeds, we can kill it...###7.3###2093;;;;;;;
107###Snatch###10000000######The second film from British director Guy Ritchie. Snatch tells an obscure story similar to his first fast-paced crazy character-colliding filled film “Lock, Stock and Two Smoking Barrels.” There are two overlapping stories here – one is the search for a stolen diamond, and the other about a boxing promoter who’s having trouble with a psychotic gangster.###53.595686###2000-09-01###83557872###103###Released###Stealin' Stones and Breakin' Bones.###7.7###2912;;;;;;;
111###Scarface###25000000######After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.###70.105981###1983-12-08###65884703###170###Released###The world is yours...###8.0###2948;;;;;;;
114###Pretty Woman###14000000######When millionaire wheeler-dealer Edward Lewis enters a business contract with Hollywood hooker Vivian Ward, he loses his heart in the bargain in this charming romantic comedy. After Edward hires Vivian as his date for a week and gives her a Cinderella makeover, she returns the favor by mellowing the hardnosed tycoon's outlook. Can the poor prostitute and the rich capitalist live happily ever after?###45.473484###1990-03-23###463000000###119###Released###Who knew it was so much fun to be a hooker?###7.0###1746;;;;;;;
115###The Big Lebowski###15000000###http://www.biglebowskibluray.com/splash.php###Jeffrey The Dude Lebowski, a Los Angeles slacker who only wants to bowl and drink white Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.###49.230089###1998-03-06###46189568###117###Released###Times like these call for a Big Lebowski.###7.8###2926;;;;;;;
116###Match Point###15000000######Match Point is Woody Allen’s satire of the British High Society and the ambition of a young tennis instructor to enter into it. Yet when he must decide between two women - one assuring him his place in high society, and the other that would bring him far from it - palms start to sweat and a dark psychological match in his head begins.###30.669913###2005-10-26###85306374###124###Released###Passion Temptation Obsession###7.3###1105;;;;;;;
117###The Untouchables###25000000######Young Treasury Agent Elliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jimmy Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war.###38.272889###1987-06-02###76270454###119###Released###What are you prepared to do?###7.6###1384;;;;;;;
118###Charlie and the Chocolate Factory###150000000###https://www.warnerbros.com/charlie-and-chocolate-factory###A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.###53.905592###2005-07-13###474968763###115###Released###Willy Wonka is semi-sweet and nuts.###6.7###3624;;;;;;;
120###The Lord of the Rings: The Fellowship of the Ring###93000000###http://www.lordoftherings.net/###Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.###138.049577###2001-12-18###871368364###178###Released###One ring to rule them all###8.0###8705;;;;;;;
121###The Lord of the Rings: The Two Towers###79000000###http://www.lordoftherings.net/###Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.###106.914973###2002-12-18###926287400###179###Released###A New Power Is Rising.###8.0###7487;;;;;;;
122###The Lord of the Rings: The Return of the King###94000000###http://www.lordoftherings.net###Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam bring the ring closer to the heart of Mordor, the dark lord's realm.###123.630332###2003-12-01###1118888979###201###Released###The eye of the enemy is moving.###8.1###8064;;;;;;;
128###もののけ姫###26500000######Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.###60.732738###1997-07-12###159375308###134###Released###The Fate Of The World Rests On The Courage Of One Warrior.###8.2###1983;;;;;;;
129###千と千尋の神隠し###15000000###http://movies.disney.com/spirited-away###A ten year old girl who wanders away from her parents along a path that leads to a world ruled by strange and unusual monster-like animals. Her parents have been changed into pigs along with others inside a bathhouse full of these creatures. Will she ever see the world how it once was?###118.968562###2001-07-20###274925095###125###Released###The tunnel led Chihiro to a mysterious town...###8.3###3840;;;;;;;
134###O Brother, Where Art Thou?###26000000######In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.###39.742009###2000-08-30###71868327###106###Released###They have a plan...but not a clue.###7.3###1112;;;;;;;
137###Groundhog Day###14600000######A narcissistic TV weatherman, along with his attractive-but-distant producer and mawkish cameraman, is sent to report on Groundhog Day in the small town of Punxsutawney, where he finds himself repeating the same day over and over.###52.744331###1993-02-11###70906973###101###Released###He's having the worst day of his life... over, and over...###7.4###2301;;;;;;;
141###Donnie Darko###6000000######After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.###61.210016###2001-01-18###1270522###113###Released###You can never go too far###7.7###3452;;;;;;;
142###Brokeback Mountain###14000000###http://www.brokebackmountain.com###Brokeback Mountain is an Ang Lee film about two modern day cowboys who meet on a shepherding job in the summer of ’63. The two share a raw and powerful summer together that turns into a life long relationship conflicting with the lives they are supposed to live.###44.135568###2005-09-02###178043761###134###Released###Love is a force of nature.###7.5###1480;;;;;;;
146###卧虎藏龙###17000000######Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.###45.742254###2000-10-01###213525736###120###Released###A timeless story of strength, secrets and two warriors who would never surrender.###7.2###927;;;;;;;
149###アキラ###8000000###http://www.bandaivisual.co.jp/akira/###Childhood friends Tetsuo and Kaneda are pulled into the post-apocalyptic underworld of Neo-Tokyo and forced to fight for their very survival. Kaneda is a bike gang leader, and Tetsuo is a member of a tough motorcycle crew who becomes involved in a covert government project called Akira. But a bloody battle ensues when Kaneda sets out to save his friend.###39.338097###1988-07-16###553171###124###Released###Neo-Tokyo is about to E.X.P.L.O.D.E.###7.8###773;;;;;;;
152###Star Trek: The Motion Picture###35000000######When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.###24.616634###1979-12-06###139000000###132###Released###The human adventure is just beginning.###6.2###530;;;;;;;
153###Lost in Translation###4000000######Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.###45.66662###2003-08-31###119723856###102###Released###Everyone wants to be found.###7.3###1895;;;;;;;
154###Star Trek II: The Wrath of Khan###12000000######Admiral James T. Kirk is feeling old; the prospect of accompanying his old ship the Enterprise on a two week cadet cruise is not making him feel any younger. But the training cruise becomes a a life or death struggle when Khan escapes from years of exile and captures the power of creation itself.###22.434102###1982-06-03###96800000###113###Released###At the end of the universe lies the beginning of vengeance.###7.3###675;;;;;;
155###The Dark Knight###185000000###http://thedarkknight.warnerbros.com/dvdsite/###Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.###187.322927###2008-07-16###1004558444###152###Released###Why So Serious?###8.2###12002;;;;;;;
157###Star Trek III: The Search for Spock###18000000######Admiral Kirk and his bridge crew risk their careers stealing the decommissioned Enterprise to return to the restricted Genesis planet to recover Spock's body.###15.314027###1984-05-31###87000000###105###Released###A dying planet. A fight for life.###6.4###434;;;;;;;
161###Ocean's Eleven###85000000###http://www.warnerbros.co.uk/movies/oceans-eleven###Less than 24 hours into his parole, charismatic thief Danny Ocean is already rolling out his next plan: In one night, Danny's hand-picked crew of specialists will attempt to steal more than $150 million from three Las Vegas casinos. But to score the cash, Danny risks his chances of reconciling with ex-wife, Tess.###60.929352###2001-12-07###450717150###116###Released###Are you in or out?###7.2###3783;;;;;;;
162###Edward Scissorhands###20000000######A small suburban town receives a visit from a castaway unfinished science experiment named Edward.###47.51363###1990-12-05###53000000###105###Released###His scars run deep.###7.5###3601;;;;;;;
163###Ocean's Twelve###110000000###http://oceans12.warnerbros.com/###Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels.###76.840712###2004-12-09###362744280###125###Released###Twelve is the new eleven.###6.4###2124;;;;;;;
165###Back to the Future Part II###40000000###http://www.backtothefuture.com/movies/backtothefuture2###Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again.###43.345252###1989-11-20###332000000###108###Released###Roads? Where we're going, we don't need roads!###7.4###3829;;;;;;;
167###K-PAX###48000000###http://www.k-pax.com/###Prot is a patient at a mental hospital who claims to be from a far away Planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.###30.920075###2001-10-22###50315140###120###Released###Change the way you look at the world.###7.1###695;;;;;;;
168###Star Trek IV: The Voyage Home###24000000######Fugitives of the Federation for their daring rescue of Spock from the doomed Genesis Planet, Admiral Kirk (William Shatner) and his crew begin their journey home to face justice for their actions. But as they near Earth, they find it at the mercy of a mysterious alien presence whose signals are slowly destroying the planet. In a desperate attempt to answer the call of the probe, Kirk and his crew race back to the late twentieth century. However they soon find the world they once knew to be more alien than anything they've encountered in the far reaches of the galaxy!###22.258428###1986-11-25###133000000###119###Released###The key to saving the future can only be found in the past.###6.9###477;;;;;;;
169###Predator 2###35000000######Ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to Earth -- and this time, it's drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers, detective-lieutenant Mike Harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away.###27.934978###1990-11-20###57120318###108###Released###Silent. Invisible. Invincible. He's in town with a few days to kill.###5.9###730;;;;;;;
170###28 Days Later###5000000######Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.###45.490374###2002-10-31###82719885###113###Released###His fear began when he woke up alone. His terror began when he realised he wasn't.###7.1###1777;;;;;;;
172###Star Trek V: The Final Frontier###30000000######Capt. Kirk and his crew must deal with Mr. Spock's half brother who kidnaps three diplomats and hijacks the Enterprise in his obsessive search for God.###19.578249###1989-06-09###70200000###107###Released###Adventure and imagination will meet at the final frontier.###5.6###376;;;;;;;
